equipnum,serialnum,apprtype,owner_name,region_name,substn_name,designation,norm_name,fluidtype,eqp_desc,mfr,year_mfg,model,kv_ratings,mva_ratings,ratedkv,ratedamps,oilpres,cooling,fluidvol,has_filtration,temp_rise,triphase,pct_impedance_hx,external_id,in_service,spare,surveillance,eqp_remarks
655,4009,UNIDENTIFIED,,,HYDRAULIC 4009,,,Other,,,,,,,0.000,,,,0,,,,,,,,,
656,4305,UNIDENTIFIED,,,HYDRAULIC 4305,,,Other,,,,,,,0.000,,,,0,,,,,,,,,
657,4372,UNIDENTIFIED,,,HYDRAULIC 4372,,,Other,,,,,,,0.000,,,,0,,,,,,,,,
10049390,930992,DIV,,,INACTIVE,EAST #1,,,SubTranLTC,MOLONEY ELECTRIC,,,69,,,,,,,,,,,,0,0,,
10049390,930992,SEL,,,INACTIVE,EAST #1,,,SubTranLTC,MOLONEY ELECTRIC,,,69,,,,,,,,,,,,0,0,,
10049390,930992,XFMR,,161/69,INACTIVE,EAST T1,TRN_IEEE_INC_69KV,OIL,SubTranLTC,MOLONEY ELECTRIC,1959,,69,40,69.000,,INERT GAS-PRESSURE,OA/FA/FA,7350,0,,1,,T-1,0,0,,TAPCHANGER SHAFT BROKE AT C PHASE.
106791,9502-1,LTC,,OLTC,INACTIVE,"MOBILE, 35MVA",LTC_VACUUM_A,OIL,SubTranLTC,MOLONEY ELECTRIC,,FOA,161.7,,161.700,,SEALED,,345,0,,1,,,1,0,0,
106791,9502-1,XFMR,,161/69,INACTIVE,"MOBILE, 35MVA",TRN_IEEE_INC_69_288KV,OIL,SubTranLTC,MOLONEY ELECTRIC,1994,FOA,161.7,35,161.700,,INERT GAS-PRESSURE,OA/FA/FOA,3100,0,,1,,,1,0,0,Failed at Brick Church 5-23-2011.
10049436,8803002,XFMR,,161/69,INACTIVE,ROSEBANK #2,TRN_IEEE_INC_69_288KV,OIL,SubTranLTC,GENERAL ELECTRIC,,OAPT,69,,138.000,,,,5860,,,,,FAILED T-2,0,0,,
10049436,8803002,LTC,,,INACTIVE,ROSEBANK #2,,,SubTranLTC,GENERAL ELECTRIC,,OAPT,69,,,,,,,,,,,,0,0,,
10049427,RFP-3465-1,LTC,,OLTC,INACTIVE,STORED AT BRICK CHURCH,LTC_NONDIVERTER_A,OIL,SubTranLTC,WESTINGHOUSE,1970,UTT A,69,44.8,69.000,,SEALED,,0,0,,1,,T-1,0,0,,
10049427,RFP-3465-1,XFMR,,161/69,INACTIVE,STORED AT BRICK CHURCH,TRN_IEEE_INC_69KV,OIL,SubTranLTC,WESTINGHOUSE,1970,,69,44.8,69.000,,INERT GAS-PRESSURE,OA/FA/FA,9860,0,,1,,T-1,0,0,,
155,F-960255J-0000155,XFMR,,4kv,LYNNWOOD 4KV,,TRN_IEEE_INC_69KV,OIL,,G.E.,,,,,23.900,,,,560,,,,,,,,,
10049412,D-577892,LTC,,OLTC,MADISON,T1,LTC_NONDIVERTER_A,OIL,SubTranLTC,GE,1964,LRT 65 D3,69,44.4,69.000,,SEALED,,0,0,,1,,T-1 LTC,1,0,,REACTOR IS IN THE MAIN TANK IN A BAFFLE. THE REACTOR SAMPLING VALVE IS AT THE BOTTOM OF THE TAPCHANGER CABINET.
10049412,D-577892,XFMR,,161/69,MADISON,T1,TRN_IEEE_INC_69KV,OIL,SubTranLTC,GE,1964,,69,44.8,69.000,,INERT GAS-PRESSURE,OA/FA/FA,8485,0,,1,,T-1,1,0,,
10049412,D-577892,OLTC REACTOR,,OLTC,MADISON,T1,TRN_IEEE_INC_69KV,OIL,POWER TRANSFORMER,GE,1964,LRT 65 D3,69-13.8,44.8,69.000,,INERT GAS-PRESSURE,,100,0,,1,,,1,0,,"The reactor is located in the main tank. The sampling valve is usually located at the bottom of the LTC cabinet. Do not sample this routinely, only for fault analysis location."
10049368,RFP-34653-1,LTC,,OLTC,MADISON,T3,LTC_NONDIVERTER_A,OIL,SubTranLTC,WEST,1964,UTT A,69,24/32/40,69.000,,SEALED,,0,0,,1,,T-3 LTC,1,0,,
